"","DepMill-IndMill","sig1","GenXer-IndMill","sig2","GenXer-DepMill","sig3"
"Ztraditional_shopper_18F",0.586585643212672,"",0.960359783020799,"",0.444516223110745,""
"Zpro_exercise_18F",0.00604934565930459,"***",0.0881739841172386,"*",0.271115871066706,""
"Zpro_env_policies_18F",0.523441046642866,"",0.291811789126431,"",0.062990229465766,"*"
"Zmaterialism_18F",0.0977970133974841,"*",0.00251646191576871,"***",1.05001310641839e-05,"***"
"Zpleasent_commute_reversed_18F",0.996732142414692,"",0.51510106526087,"",0.729147864096897,""
"Zclimate_change_concern_18F",0.671044915849687,"",0.516216508004699,"",0.99924883358496,""
"Zpro_suburban_18F",0.299949357986928,"",0.996182522493431,"",0.313537394680754,""
"Zstablished_in_life_18F",1.3263889986348e-10,"***",3.95757870919056e-11,"***",3.89172027936979e-11,"***"
"Zlong_term_suburbanite_18F",0.847356568168383,"",0.606305540706017,"",0.402293090706345,""
"Zmust_own_car_reversed_18F",0.188105096942647,"",0.878173041351444,"",0.078674594917259,"*"
"Ztime_mode_constrained_18F",0.535423434274049,"",0.889151423404453,"",0.739657108896986,""
"Zresponsive_to_env_effects_price_of_travel_reversed_18F",0.996547662782985,"",0.00348344263907574,"***",0.0293827245328642,"**"
"Ztech_embracing_reversed_18F",0.924704710443932,"",0.0243658070487927,"**",0.0461246445975425,"**"
"Zadv_var_seeker_18F",0.222411405264658,"",9.38022352048318e-06,"***",0.149929013871017,""
"Zmonochronic_18F",0.938812421402535,"",0.389845787434016,"",0.371041086157351,""
"Zpro_social_18F",0.944630614666337,"",0.929973204741675,"",0.817099858005254,""
"Zcar_as_atool_18F",0.988136411269065,"",0.960935020358053,"",0.93275464065739,""
"Zinternet_smarthphone_lover_18F",0.59648832286482,"",9.85035565670422e-07,"***",0.0102684639942665,"**"
"ZA1c_routine",0.341683833552322,"",0.94456579073794,"",0.460639717261924,""
"ZA1d_groupneeds",0.98758831680839,"",0.0681548098364232,"*",0.274395383813895,""
"ZA1i_stubborn",0.654213522849475,"",0.00308197941600841,"***",0.0020365516774824,"***"
"ZA1l_backnoise",0.964019782102469,"",0.536146084437647,"",0.529913516188789,""
"ZA1m_friendsapproval",0.0963032584505724,"*",0.00278347656432876,"***",1.12729233859854e-05,"***"
"ZA1r_airquality",0.566847507929216,"",0.96600386272282,"",0.672046212876467,""
"ZA2g_mencareer",0.00882297669469745,"***",0.786179287622345,"",0.0012288317281518,"***"
"ZA2n_womanauthority",0.616505907635409,"",0.313852102286004,"",0.988271164240792,""
"ZA3a_usefulcommute",0.264578013981056,"",0.00235582464235173,"***",0.604106087487058,""
"ZA3f_uncomfortpeople",0.000133832503672937,"***",0.124612971368417,"",4.83227279302056e-08,"***"
"ZA3n_childrencar",0.0198016019990258,"**",0.0929961417617785,"*",0.474194390158815,""
"ZA3p_likebike",0.00863278947258439,"***",0.000356693967859312,"***",0.994142202688375,""
"ZJ11g_payreduceTT",0.606634464763362,"",0.00164627756163349,"***",0.224225253198307,""
"ZJ11j_happyroadinvestments",0.175221236620584,"",0.479249930061692,"",0.0187265141916862,"**"
